weight,word,color,url
97,,,
22,Excel,,
14,Google,,
12,Informacin,,
12,Bi,,
10,Power,,
10,Vba,,
10,5,,
10,Microsoft,,
9,Meses,,
9,Herramientas,,
7,Datos,,
7,Mayo,,
7,Avanzadas,,
7,1,,
7,Octubre,,
7,Data,,
6,Aos,,
6,Formulas,,
6,Digital,,
6,Macros,,
5,Diferentes,,
5,Diciembre,,
5,Automatizacin,,
5,3,,
5,Page,,
5,Studio,,
5,2,,
5,Medelln,,
5,Marketing,,
4,Mediante,,
4,Owner,,
4,Python,,
4,Campaas,,
4,2010,,
4,Specialist,,
4,Anlisis,,
4,Bases,,
4,2014,,
4,2006,,
3,Intelligence,,
3,Spreadsheets,,
3,Ao,,
3,Enero,,
3,Product,,
3,Aplicaciones,,
3,Avanzado,,
3,Sheets,,
3,Consultor,,
3,Desarrollar,,
3,Colombia,,
3,Informes,,
3,Abril,,
3,Fuentes,,
3,Modelos,,
3,6,,
3,Medellin,,
3,Junio,,
3,Reportes,,
3,Business,,
2,Dax,,
2,Present,,
2,Libranza,,
2,Hojas,,
2,Labores,,
2,Levels,,
2,Dashboards,,
2,Junta,,
2,Profesor,,
2,Control,,
2,Redes,,
2,Relacionales,,
2,Clculo,,
2,Procesos,,
2,Directiva,,
2,Decisiones,,
2,Dedisminuir,,
2,Independiente,,
2,Gerencia,,
2,Mes,,
2,Financieros,,
2,Finalidad,,
2,Native,,
2,Factoring,,
2,Facilitar,,
2,Negocio,,
2,Extracto,,
2,Experiencia,,
2,Certification,,
2,Etl,,
2,Intermedio,,
2,Disear,,
2,Digitales,,
2,Inventario,,
2,Platform,,
2,Lograr,,
2,Reporting,,
2,Proponer,,
2,Certificate,,
2,Senior,,
2,2013,,
2,Universidad,,
2,2019,,
2,2022,,
2,Bsico,,
2,Scrum,,
2,Sector,,
2,4,,
2,2011,,
2,Apt,,
2,Accredited,,
2,Sociales,,
2,Talend,,
2,Ads,,
2,Antioquia,,
2,Analista,,
2,2012,,
2,Sql,,
